,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Location_encoded,Target_encoded,month,day,year
2969,2017-04-16,Albury,6.4,21.4,0.0,3.0,3.5,SE,19.0,E,ESE,7.0,11.0,75.0,42.0,1021.6,1018.6,1.0,4.0,13.4,20.8,No,0.20686102207638657,0,4,6,2017
2970,2017-04-17,Albury,8.6,24.8,0.0,6.2,8.3,SSE,20.0,SSE,SSE,6.0,15.0,71.0,42.0,1022.6,1019.2,1.0,0.0,14.9,24.5,No,0.20686102207638657,0,4,0,2017
2971,2017-04-18,Albury,11.0,26.9,0.0,5.0,5.5,ENE,22.0,NE,SSE,2.0,15.0,68.0,40.0,1025.8,1023.6,1.0,2.0,18.1,25.6,No,0.21257087282959397,0,4,1,2017
2972,2017-04-19,Albury,9.6,24.6,0.0,5.6,9.1,SE,17.0,ESE,SSE,7.0,9.0,78.0,49.0,1030.1,1026.3,1.0,7.0,16.2,24.3,No,0.21257087282959397,0,4,2,2017
2973,2017-04-20,Albury,9.7,26.3,0.0,5.6,13.0,ENE,26.0,ESE,SE,6.0,6.0,75.0,36.0,1029.5,1024.5,5.0,1.0,16.2,24.9,No,0.20481681555081935,0,4,3,2017
2974,2017-04-21,Albury,14.5,17.6,1.0,3.8,1.3,N,17.0,SE,NNE,9.0,11.0,95.0,89.0,1025.6,1024.7,8.0,8.0,15.0,16.5,No,0.20686102207638657,1,4,4,2017
2975,2017-04-22,Albury,14.8,19.7,17.2,8.0,0.6,ENE,19.0,E,SSE,4.0,13.0,100.0,77.0,1026.2,1023.2,8.0,8.0,15.6,19.0,Yes,0.1993517511545076,0,4,5,2017
2976,2017-04-23,Albury,11.2,23.8,0.6,11.0,10.7,SE,13.0,ENE,SE,7.0,7.0,87.0,53.0,1025.0,1021.4,1.0,7.0,15.7,22.5,No,0.20686102207638657,0,4,6,2017
2977,2017-04-24,Albury,11.0,23.3,0.0,6.0,8.3,ESE,17.0,ENE,SE,2.0,9.0,81.0,59.0,1022.3,1016.9,1.0,2.0,15.8,22.8,No,0.19934638003267258,1,4,0,2017
2978,2017-04-25,Albury,15.4,20.4,9.6,0.8,10.2,WNW,35.0,NNE,WNW,9.0,17.0,100.0,76.0,1009.5,1006.5,8.0,2.0,16.3,20.1,Yes,0.20481681555081935,1,4,1,2017
2979,2017-04-26,Albury,10.0,15.7,31.2,6.4,10.3,SW,43.0,WSW,WSW,24.0,28.0,85.0,59.0,1006.9,1008.4,8.0,6.0,10.4,14.7,Yes,0.20481681555081935,0,4,2,2017
2980,2017-04-27,Albury,2.4,16.7,0.2,5.8,10.3,SW,31.0,E,SW,4.0,17.0,71.0,41.0,1020.7,1019.2,7.0,8.0,9.6,16.2,No,0.19934638003267258,0,4,3,2017
2981,2017-04-28,Albury,3.5,17.3,0.0,2.0,9.9,WNW,24.0,E,WNW,0.0,15.0,79.0,58.0,1025.3,1022.6,8.0,2.0,8.3,16.7,No,0.21257087282959397,0,4,4,2017
2982,2017-04-29,Albury,6.3,19.8,0.0,8.0,11.1,W,24.0,E,WNW,6.0,9.0,100.0,64.0,1023.2,1020.7,8.0,8.0,10.0,19.0,No,0.20686102207638657,0,4,5,2017
2983,2017-04-30,Albury,6.8,19.9,0.0,3.4,7.9,ENE,17.0,E,NNW,6.0,4.0,99.0,61.0,1023.6,1020.1,7.0,6.0,10.8,18.4,No,0.19934638003267258,0,4,6,2017
2984,2017-05-01,Albury,7.1,19.1,0.0,2.8,10.9,WSW,17.0,NE,SSW,6.0,7.0,96.0,59.0,1018.9,1015.8,7.0,2.0,12.0,18.1,No,0.20481681555081935,0,5,0,2017
2985,2017-05-02,Albury,9.7,16.4,0.0,1.2,9.0,WNW,41.0,W,W,20.0,24.0,81.0,42.0,1018.8,1019.3,4.0,4.0,12.6,16.0,No,0.20686102207638657,0,5,1,2017
2986,2017-05-03,Albury,2.4,17.9,0.0,3.8,4.3,SSE,20.0,ESE,E,2.0,7.0,66.0,37.0,1029.4,1027.7,8.0,0.0,8.6,16.6,No,0.19934638003267258,0,5,2,2017
2987,2017-05-04,Albury,3.5,18.8,0.0,14.4,7.5,ESE,17.0,S,S,2.0,6.0,72.0,46.0,1031.9,1028.5,6.0,3.0,9.5,17.9,No,0.20481681555081935,0,5,3,2017
2988,2017-05-05,Albury,4.5,18.7,0.0,5.2,6.8,SE,19.0,ESE,SE,7.0,13.0,80.0,62.0,1030.9,1026.1,2.0,0.0,9.9,18.3,No,0.1993517511545076,0,5,4,2017
2989,2017-05-06,Albury,6.9,21.1,0.0,25.4,8.7,WSW,43.0,S,NW,0.0,22.0,98.0,40.0,1023.8,1020.4,4.0,8.0,10.2,20.7,No,0.20686102207638657,0,5,5,2017
2990,2017-05-07,Albury,4.1,16.1,0.0,4.4,13.3,WSW,35.0,W,WSW,11.0,20.0,70.0,39.0,1027.9,1026.9,8.0,1.0,9.3,15.0,No,0.20481681555081935,0,5,6,2017
2991,2017-05-08,Albury,1.7,16.8,0.0,0.4,2.2,NNE,17.0,SSE,ESE,9.0,7.0,80.0,47.0,1030.4,1027.1,7.0,7.0,6.4,16.3,No,0.20686102207638657,0,5,0,2017
2992,2017-05-09,Albury,2.7,18.1,0.0,0.6,6.8,ESE,15.0,SW,NNW,2.0,6.0,79.0,47.0,1029.1,1024.8,4.0,2.0,8.2,17.6,No,0.20481681555081935,0,5,1,2017
2993,2017-05-10,Albury,3.1,19.8,0.0,1.0,10.3,W,17.0,E,SSW,2.0,4.0,76.0,51.0,1026.7,1023.3,8.0,5.0,10.3,18.5,No,0.1993517511545076,0,5,2,2017
2994,2017-05-11,Albury,3.9,19.9,0.0,9.2,10.2,WSW,15.0,WSW,NW,0.0,6.0,100.0,48.0,1026.4,1023.6,8.0,2.0,7.9,19.7,No,0.21257087282959397,0,5,3,2017
2995,2017-05-12,Albury,4.2,16.4,0.0,3.0,13.6,ESE,17.0,N,SSE,2.0,9.0,100.0,64.0,1027.2,1024.0,8.0,7.0,7.6,16.2,No,0.1993517511545076,0,5,4,2017
2996,2017-05-13,Albury,4.6,19.4,0.0,0.8,9.8,NE,28.0,SE,SE,6.0,9.0,83.0,55.0,1024.6,1020.8,1.0,1.0,10.0,19.0,No,0.21257087282959397,0,5,5,2017
2997,2017-05-14,Albury,7.7,18.2,0.0,11.4,11.1,SE,20.0,ESE,ESE,6.0,9.0,82.0,59.0,1022.5,1019.7,7.0,1.0,10.9,18.2,No,0.1993517511545076,0,5,6,2017
2998,2017-05-15,Albury,4.7,19.6,0.0,6.2,10.9,ESE,17.0,WSW,ENE,4.0,7.0,90.0,50.0,1020.3,1016.9,6.0,7.0,10.0,18.9,No,0.20686102207638657,0,5,0,2017
2999,2017-05-16,Albury,4.0,18.8,0.0,10.0,9.0,NNE,13.0,WNW,SE,0.0,6.0,79.0,54.0,1020.5,1017.6,7.0,4.0,10.1,17.4,No,0.20481681555081935,0,5,1,2017
3000,2017-05-17,Albury,4.4,17.6,0.0,4.8,12.7,E,15.0,WNW,SE,0.0,7.0,91.0,63.0,1022.8,1020.3,1.0,1.0,9.7,16.6,No,0.1993517511545076,0,5,2,2017
3001,2017-05-18,Albury,6.7,22.6,0.0,4.8,4.7,ESE,20.0,ESE,SE,0.0,11.0,77.0,44.0,1024.9,1021.6,6.0,8.0,11.5,21.1,No,0.19934638003267258,0,5,3,2017
3002,2017-05-19,Albury,9.8,15.3,0.0,2.2,12.0,ENE,31.0,SSE,SE,9.0,13.0,70.0,100.0,1021.8,1018.8,8.0,8.0,14.8,13.7,No,0.19934638003267258,1,5,4,2017
3003,2017-05-20,Albury,11.2,19.2,18.6,0.6,0.2,NNW,19.0,S,NNW,2.0,9.0,100.0,57.0,1018.6,1017.3,8.0,2.0,13.2,18.9,Yes,0.21257087282959397,0,5,5,2017
3004,2017-05-21,Albury,6.8,18.4,0.2,2.6,7.1,SE,13.0,N,NNE,0.0,7.0,100.0,66.0,1022.7,1021.1,8.0,7.0,10.4,17.7,No,0.20686102207638657,0,5,6,2017
3005,2017-05-22,Albury,5.9,17.4,0.2,1.6,10.1,NE,50.0,SW,ESE,2.0,9.0,100.0,71.0,1025.0,1021.0,8.0,4.0,9.0,17.1,No,0.1993517511545076,0,5,0,2017
3006,2017-05-23,Albury,4.4,19.6,0.0,6.6,6.2,W,24.0,NW,ESE,0.0,11.0,100.0,71.0,1021.2,1016.6,1.0,8.0,9.9,18.0,No,0.1993517511545076,1,5,1,2017
3007,2017-05-24,Albury,9.9,15.8,6.2,14.6,0.8,NW,35.0,WNW,W,19.0,19.0,84.0,72.0,1017.1,1017.5,2.0,6.0,12.5,13.9,Yes,0.1993517511545076,0,5,2,2017
3008,2017-05-25,Albury,4.2,14.0,0.2,4.8,9.2,W,20.0,NE,NW,0.0,11.0,100.0,76.0,1023.6,1022.0,7.0,8.0,8.8,13.5,No,0.1993517511545076,0,5,3,2017
3009,2017-05-26,Albury,8.7,15.6,0.0,2.4,10.1,NE,15.0,NE,ESE,7.0,9.0,93.0,73.0,1024.0,1021.3,0.0,8.0,11.7,15.3,No,0.19934638003267258,0,5,4,2017
3010,2017-05-27,Albury,6.1,17.6,0.0,4.8,8.0,ENE,19.0,ENE,NNE,6.0,11.0,94.0,63.0,1021.3,1016.4,5.0,1.0,11.4,16.5,No,0.21257087282959397,1,5,5,2017
3011,2017-05-28,Albury,9.0,14.3,7.0,5.2,10.5,W,44.0,N,NNW,11.0,20.0,93.0,80.0,1010.8,1010.3,8.0,8.0,11.1,11.3,Yes,0.20481681555081935,1,5,6,2017
3012,2017-05-29,Albury,2.8,12.4,7.4,2.4,8.2,WNW,31.0,WNW,NW,7.0,15.0,91.0,63.0,1021.5,1021.6,4.0,1.0,6.2,12.2,Yes,0.20481681555081935,0,5,0,2017
3013,2017-05-30,Albury,6.0,9.4,0.4,32.0,10.1,SSW,24.0,NE,ENE,7.0,7.0,96.0,100.0,1024.4,1022.0,8.0,7.0,6.7,9.3,No,0.20481681555081935,1,5,1,2017
3014,2017-05-31,Albury,-0.4,13.3,5.2,16.0,7.4,E,13.0,N,ESE,0.0,7.0,100.0,53.0,1031.2,1030.4,1.0,1.0,2.9,12.3,Yes,0.19934638003267258,0,5,2,2017
3015,2017-06-01,Albury,-1.1,14.5,0.0,5.8,12.5,W,15.0,E,SSE,0.0,6.0,90.0,48.0,1036.5,1034.3,1.0,5.0,3.3,12.7,No,0.20686102207638657,0,6,3,2017
3016,2017-06-02,Albury,-0.8,14.1,0.2,3.0,7.3,WSW,17.0,N,SW,0.0,7.0,90.0,54.0,1036.8,1033.7,8.0,7.0,3.2,13.6,No,0.19934638003267258,0,6,4,2017
3017,2017-06-03,Albury,-0.5,15.3,0.0,11.2,13.3,E,13.0,SW,E,0.0,9.0,90.0,50.0,1034.5,1031.0,7.0,7.0,4.6,14.2,No,0.20481681555081935,0,6,5,2017
3018,2017-06-04,Albury,-0.9,14.5,0.0,8.0,10.7,WSW,17.0,NNW,W,0.0,9.0,95.0,58.0,1030.0,1026.0,8.0,6.0,3.9,14.1,No,0.1993517511545076,0,6,6,2017
3019,2017-06-05,Albury,1.2,12.5,0.2,6.0,5.3,W,20.0,SE,W,4.0,15.0,100.0,71.0,1027.3,1024.4,8.0,7.0,3.6,11.6,No,0.19934638003267258,1,6,0,2017
3020,2017-06-06,Albury,3.6,14.5,4.2,6.6,11.5,SSW,33.0,E,WSW,9.0,19.0,90.0,55.0,1023.3,1022.9,7.0,7.0,8.2,13.8,Yes,0.21257087282959397,0,6,1,2017
3021,2017-06-07,Albury,-0.6,15.8,0.0,6.0,6.9,SSE,20.0,WNW,SSE,6.0,13.0,81.0,48.0,1027.2,1025.9,7.0,3.0,6.3,15.5,No,0.1993517511545076,0,6,2,2017
3022,2017-06-08,Albury,0.7,15.6,0.0,5.0,5.9,W,22.0,SE,SSW,2.0,9.0,90.0,60.0,1028.9,1026.2,4.0,5.0,5.5,14.1,No,0.1993517511545076,0,6,3,2017
3023,2017-06-09,Albury,1.1,15.2,0.0,2.2,12.9,NE,13.0,NW,E,0.0,0.0,100.0,66.0,1029.9,1029.7,8.0,6.0,4.4,14.1,No,0.19934638003267258,0,6,4,2017
3024,2017-06-10,Albury,1.9,16.7,0.0,1.2,0.0,NW,13.0,NE,E,6.0,2.0,94.0,58.0,1034.4,1031.3,7.0,7.0,7.1,16.0,No,0.1993517511545076,0,6,5,2017
3025,2017-06-11,Albury,1.4,16.6,0.0,1.8,10.9,ENE,13.0,NE,NE,4.0,6.0,100.0,60.0,1031.1,1026.5,1.0,1.0,6.6,16.3,No,0.20686102207638657,0,6,6,2017
3026,2017-06-12,Albury,1.9,15.1,0.2,55.6,5.4,W,17.0,SSE,W,6.0,9.0,100.0,70.0,1029.1,1026.4,8.0,3.0,5.1,14.8,No,0.19934638003267258,0,6,0,2017
3027,2017-06-13,Albury,3.3,15.9,0.2,6.6,10.5,SE,17.0,SSW,ESE,0.0,6.0,100.0,67.0,1031.3,1029.8,1.0,7.0,6.6,15.4,No,0.19934638003267258,0,6,1,2017
3028,2017-06-14,Albury,1.6,15.3,0.2,4.2,10.6,SE,17.0,W,SE,0.0,11.0,100.0,69.0,1032.0,1029.0,1.0,7.0,5.6,15.0,No,0.20686102207638657,0,6,2,2017
3029,2017-06-15,Albury,2.1,14.7,0.0,4.0,12.1,E,17.0,E,ESE,0.0,9.0,100.0,73.0,1029.4,1026.4,4.0,5.0,7.0,13.8,No,0.21257087282959397,0,6,3,2017
3030,2017-06-16,Albury,3.2,12.9,0.2,9.8,5.3,ENE,15.0,S,SE,6.0,7.0,100.0,80.0,1026.9,1024.7,8.0,2.0,6.5,12.2,No,0.20686102207638657,0,6,4,2017
3031,2017-06-17,Albury,3.6,15.5,0.0,1.6,5.8,S,11.0,NNE,S,2.0,0.0,100.0,64.0,1025.8,1023.7,2.0,2.0,7.6,14.1,No,0.20481681555081935,0,6,5,2017
3032,2017-06-18,Albury,1.0,17.0,0.0,1.8,4.7,W,17.0,SSW,E,2.0,6.0,100.0,52.0,1029.4,1028.0,4.0,2.0,5.1,15.8,No,0.19934638003267258,0,6,6,2017
3033,2017-06-19,Albury,-0.2,14.7,0.0,5.8,3.8,ENE,11.0,NW,SSE,0.0,6.0,100.0,64.0,1033.8,1030.4,8.0,6.0,4.4,13.6,No,0.21257087282959397,0,6,0,2017
5957,2017-03-26,BadgerysCreek,15.8,29.3,0.2,7.8,9.9,ENE,26.0,N,E,0.0,6.0,100.0,91.0,1016.1,1014.0,7.0,6.0,19.3,28.1,No,0.19651338128001672,0,3,6,2017
5958,2017-03-27,BadgerysCreek,16.7,29.1,0.0,1.6,10.5,NNE,28.0,NNE,NNE,6.0,15.0,100.0,72.0,1017.2,1011.5,5.0,6.0,18.8,28.3,No,0.19430628938613978,0,3,0,2017
5959,2017-03-28,BadgerysCreek,18.7,24.4,0.0,6.8,7.5,S,17.0,SSW,ESE,9.0,7.0,74.0,62.0,1014.3,1012.3,0.0,1.0,20.7,23.3,No,0.20461018360628036,0,3,1,2017
5960,2017-03-29,BadgerysCreek,20.0,33.4,0.0,4.4,11.3,SSW,13.0,E,N,2.0,2.0,52.0,38.0,1012.1,1007.0,1.0,1.0,21.4,30.9,No,0.20461018360628036,0,3,2,2017
5961,2017-03-30,BadgerysCreek,21.3,22.8,0.2,4.0,11.8,SW,43.0,WSW,S,9.0,19.0,41.0,64.0,1007.7,1007.9,7.0,8.0,22.7,18.3,No,0.20319211207606866,1,3,3,2017
5962,2017-03-31,BadgerysCreek,12.5,23.2,39.6,8.4,11.6,SE,35.0,SW,S,19.0,11.0,20.0,61.0,1016.9,1015.3,2.0,2.0,15.8,22.4,Yes,0.19430628938613978,0,3,4,2017
5963,2017-04-01,BadgerysCreek,10.8,25.0,0.0,11.4,3.0,E,28.0,SW,E,6.0,6.0,51.0,40.0,1018.4,1016.4,8.0,7.0,15.3,24.0,No,0.20461018360628036,0,4,5,2017
5964,2017-04-02,BadgerysCreek,14.4,22.2,0.4,5.8,6.1,SSW,37.0,SSW,SSE,17.0,17.0,100.0,40.0,1026.2,1024.8,8.0,1.0,16.3,21.4,No,0.20461018360628036,1,4,6,2017
5965,2017-04-03,BadgerysCreek,12.7,20.0,3.6,12.4,12.9,ESE,35.0,SW,WSW,13.0,11.0,44.0,55.0,1029.1,1027.2,3.0,0.0,13.9,17.3,Yes,0.19651338128001672,1,4,0,2017
5966,2017-04-04,BadgerysCreek,12.0,21.0,11.6,3.4,7.8,S,39.0,SSW,SSW,13.0,17.0,65.0,29.0,1028.6,1027.2,8.0,2.0,18.3,18.2,Yes,0.20319211207606866,1,4,1,2017
5967,2017-04-05,BadgerysCreek,11.9,22.2,2.2,5.2,6.7,SSE,30.0,SW,ESE,13.0,15.0,87.0,78.0,1026.7,1023.1,7.0,2.0,17.7,20.6,Yes,0.19430628938613978,0,4,2,2017
5968,2017-04-06,BadgerysCreek,9.9,23.8,0.0,0.2,11.2,ESE,30.0,SW,SSE,6.0,6.0,92.0,41.0,1026.4,1023.4,7.0,8.0,17.0,22.7,No,0.20461018360628036,0,4,3,2017
5969,2017-04-07,BadgerysCreek,11.8,24.5,0.0,1.8,8.0,ENE,19.0,SW,ESE,4.0,9.0,68.0,43.0,1028.6,1025.4,7.0,7.0,18.5,23.4,No,0.19430628938613978,0,4,4,2017
5970,2017-04-08,BadgerysCreek,10.0,24.7,0.0,4.8,7.0,NNE,28.0,E,NNE,2.0,13.0,71.0,42.0,1026.3,1020.7,2.0,8.0,18.0,24.0,No,0.19651338128001672,0,4,5,2017
5971,2017-04-09,BadgerysCreek,10.6,27.5,0.0,15.0,8.2,W,72.0,WNW,N,2.0,13.0,78.0,46.0,1015.5,1006.3,7.0,7.0,17.1,25.4,No,0.20319211207606866,1,4,6,2017
5972,2017-04-10,BadgerysCreek,9.0,19.2,7.4,1.0,0.1,WSW,46.0,NW,SSE,19.0,2.0,56.0,57.0,1009.6,1008.7,2.0,2.0,13.9,16.1,Yes,0.19853301436324328,0,4,0,2017
5973,2017-04-11,BadgerysCreek,8.4,24.1,0.0,5.4,0.1,SSW,43.0,SW,SSW,17.0,17.0,54.0,50.0,1017.7,1017.5,2.0,1.0,19.1,22.6,No,0.20319211207606866,0,4,1,2017
5974,2017-04-12,BadgerysCreek,13.1,21.8,0.0,1.2,4.5,SSW,33.0,SW,SE,19.0,7.0,66.0,71.0,1024.1,1022.2,7.0,8.0,18.1,19.7,No,0.19651338128001672,0,4,2,2017
5975,2017-04-13,BadgerysCreek,13.4,23.3,0.0,6.8,12.0,SE,28.0,SSW,S,15.0,11.0,64.0,55.0,1024.1,1020.5,6.0,1.0,18.6,21.1,No,0.20461018360628036,0,4,3,2017
5976,2017-04-14,BadgerysCreek,10.1,24.7,0.0,7.4,5.3,E,22.0,SW,SE,4.0,6.0,75.0,35.0,1022.2,1018.9,7.0,7.0,17.3,24.1,No,0.20461018360628036,0,4,4,2017
5977,2017-04-15,BadgerysCreek,9.5,24.0,0.0,5.8,5.2,E,26.0,SSW,SE,4.0,9.0,77.0,44.0,1021.2,1018.0,6.0,7.0,16.1,23.5,No,0.20461018360628036,0,4,5,2017
5978,2017-04-16,BadgerysCreek,10.2,25.4,0.0,7.0,11.2,SE,30.0,NW,SW,2.0,15.0,86.0,41.0,1020.2,1017.5,5.0,8.0,16.5,23.3,No,0.19651338128001672,0,4,6,2017
5979,2017-04-17,BadgerysCreek,10.8,24.5,0.0,1.4,7.1,ENE,24.0,S,NNW,2.0,4.0,72.0,45.0,1024.5,1021.6,3.0,2.0,18.1,23.8,No,0.19430628938613978,0,4,0,2017
5980,2017-04-18,BadgerysCreek,12.3,25.1,0.0,6.8,6.5,ESE,22.0,ESE,E,4.0,6.0,81.0,52.0,1027.3,1024.8,7.0,3.0,18.5,24.5,No,0.20461018360628036,0,4,1,2017
5981,2017-04-19,BadgerysCreek,12.0,23.6,0.0,1.8,8.8,SE,22.0,WSW,SE,9.0,9.0,86.0,61.0,1031.1,1028.2,8.0,1.0,16.5,22.8,No,0.19853301436324328,0,4,2,2017
5982,2017-04-20,BadgerysCreek,12.4,24.7,0.0,12.4,13.6,N,24.0,WNW,NE,0.0,13.0,82.0,57.0,1030.5,1027.0,7.0,7.0,19.2,23.1,No,0.19430628938613978,0,4,3,2017
5983,2017-04-21,BadgerysCreek,9.9,24.3,0.0,5.0,10.5,NNE,24.0,W,N,0.0,6.0,86.0,58.0,1028.6,1024.6,3.0,0.0,14.7,22.4,No,0.20461018360628036,0,4,4,2017
5984,2017-04-22,BadgerysCreek,14.5,23.9,0.0,6.0,11.5,SSE,9.0,NE,NW,6.0,4.0,95.0,63.0,1026.0,1022.2,4.0,7.0,17.3,22.6,No,0.19651338128001672,0,4,5,2017
5985,2017-04-23,BadgerysCreek,11.3,26.2,0.0,7.0,3.2,SSW,24.0,E,NE,0.0,2.0,81.0,43.0,1024.1,1020.4,4.0,7.0,17.3,25.9,No,0.20461018360628036,0,4,6,2017
5986,2017-04-24,BadgerysCreek,12.0,24.8,0.2,3.4,2.4,NE,19.0,SE,NE,2.0,6.0,81.0,50.0,1022.7,1017.8,7.0,3.0,17.6,24.6,No,0.20319211207606866,0,4,0,2017
5987,2017-04-25,BadgerysCreek,14.9,25.7,0.2,4.0,5.2,N,30.0,NNE,NW,7.0,9.0,99.0,60.0,1014.0,1008.1,6.0,8.0,17.7,22.8,No,0.20461018360628036,0,4,1,2017
5988,2017-04-26,BadgerysCreek,11.2,23.2,0.0,2.4,10.4,WSW,69.0,NNW,WSW,17.0,17.0,60.0,82.0,1006.5,1005.7,7.0,8.0,19.9,12.4,No,0.19651338128001672,1,4,2,2017
5989,2017-04-27,BadgerysCreek,7.6,19.7,2.0,7.4,10.9,SW,33.0,WSW,SSW,19.0,13.0,50.0,49.0,1016.2,1015.2,1.0,7.0,13.2,17.3,Yes,0.20461018360628036,0,4,3,2017
5990,2017-04-28,BadgerysCreek,7.4,20.3,0.0,1.8,7.2,SW,24.0,SW,WSW,15.0,6.0,56.0,40.0,1023.1,1020.3,7.0,1.0,14.2,19.9,No,0.19430628938613978,0,4,4,2017
5991,2017-04-29,BadgerysCreek,5.3,22.0,0.0,3.6,9.5,SW,19.0,WSW,S,4.0,4.0,72.0,42.0,1021.1,1018.2,5.0,4.0,13.4,21.4,No,0.19430628938613978,0,4,5,2017
5992,2017-04-30,BadgerysCreek,8.5,23.0,0.0,4.8,6.6,WSW,19.0,WSW,SE,13.0,7.0,70.0,52.0,1023.2,1020.5,1.0,6.0,16.5,20.9,No,0.19853301436324328,0,4,6,2017
